,X,Y,L1,L2,L3
119,178.4454368,26.64427412,1,1,1
120,178.43555,26.65842176,1,1,1
121,178.4257396,26.67261283,1,1,1
122,178.4160057,26.68684705,1,1,1
123,178.4063486,26.70112405,1,1,1
124,178.3967685,26.71544355,1,1,1
125,178.3872658,26.72980507,1,1,1
126,178.3778407,26.74420835,1,1,1
127,178.3684934,26.75865309,1,1,1
128,178.3592241,26.77313891,1,1,1
129,178.3500332,26.78766537,1,1,1
130,178.3409208,26.80223226,1,1,1
131,178.3318873,26.81683921,1,1,1
132,178.3312349,26.81790061,1,1,1
133,178.3273056,26.8243079,1,1,1
134,178.3245193,26.82877817,1,1,1
135,178.3154831,26.84338477,1,1,1
136,178.306526,26.85803105,1,1,1
137,178.2976483,26.87271672,1,1,1
138,178.2888501,26.88744132,1,1,1
139,178.2801318,26.90220457,1,1,1
140,178.2714934,26.91700601,1,1,1
141,178.2629354,26.93184544,1,1,1
142,178.2544578,26.9467225,1,1,1
143,178.246061,26.96163671,1,1,1
144,178.2377452,26.97658771,1,1,1
145,178.2295106,26.99157522,1,1,1
146,178.2213574,27.00659896,1,1,1
147,178.2132859,27.02165837,1,1,1
148,178.2052963,27.03675326,1,1,1
149,178.1973887,27.05188317,1,1,1
150,178.1963201,27.05394269,1,1,1
151,178.1894258,27.06731307,1,1,1
152,178.1816831,27.08251197,1,1,1
153,178.1740232,27.09774488,1,1,1
154,178.1664464,27.11301132,1,1,1
155,178.1589527,27.12831093,1,1,1
156,178.1515424,27.14364343,1,1,1
157,178.1442157,27.15900845,1,1,1
158,178.1369729,27.17440554,1,1,1
159,178.1298141,27.1898344,1,1,1
160,178.1227395,27.20529468,1,1,1
161,178.1157494,27.22078591,1,1,1
162,178.108844,27.23630772,1,1,1
163,178.1020235,27.25185984,1,1,1
164,178.095288,27.26744181,1,1,1
165,178.0886377,27.28305334,1,1,1
166,178.0820729,27.2986939,1,1,1
167,178.0755937,27.31436328,1,1,1
168,178.0692004,27.33006095,1,1,1
169,178.0628931,27.34578663,1,1,1
170,178.056672,27.36153995,1,1,1
171,178.0505373,27.37732045,1,1,1
172,178.0444892,27.39312785,1,1,1
173,178.0385278,27.40896161,1,1,1
174,178.0326534,27.42482155,1,1,1
175,178.0268661,27.44070711,1,1,1
176,178.0211661,27.45661802,1,1,1
177,178.0155536,27.47255382,1,1,1
178,178.0100287,27.48851424,1,1,1
179,178.0045916,27.50449873,1,1,1
180,177.9992425,27.52050692,1,1,1
181,177.9939816,27.53653855,1,1,1
182,177.9888091,27.55259315,1,1,1
183,177.9837249,27.56867037,1,1,1
184,177.9787294,27.58476974,1,1,1
185,177.9738228,27.60089099,1,1,1
186,177.969005,27.61703358,1,1,1
187,177.9642764,27.63319724,1,1,1
188,177.9596371,27.64938142,1,1,1
189,177.9550873,27.66558593,1,1,1
190,177.9506269,27.68181024,1,1,1
191,177.9462564,27.69805406,1,1,1
192,177.9419756,27.71431687,1,1,1
193,177.9377848,27.7305983,1,1,1
194,177.9336843,27.74689806,1,1,1
195,177.9336632,27.74698267,1,1,1
196,177.9336125,27.74718625,1,1,1
197,177.9296022,27.76350386,1,1,1
198,177.9256822,27.77983883,1,1,1
199,177.9218529,27.79619096,1,1,1
200,177.9181143,27.81255962,1,1,1
201,177.9144666,27.82894465,1,1,1
202,177.9109098,27.84534548,1,1,1
203,177.907444,27.86176178,1,1,1
204,177.9040695,27.87819307,1,1,1
205,177.9007863,27.8946391,1,1,1
206,177.8975946,27.91109923,1,1,1
207,177.8944944,27.92757338,1,1,1
208,177.8914859,27.94406082,1,1,1
209,177.8885693,27.96056138,1,1,1
210,177.8857446,27.97707451,1,1,1
211,177.8830119,27.99359986,1,1,1
212,177.8803713,28.01013698,1,1,1
213,177.877823,28.0266856,1,1,1
214,177.8753671,28.04324519,1,1,1
215,177.8730036,28.05981538,1,1,1
216,177.8707327,28.07639573,1,1,1
217,177.8685544,28.09298579,1,1,1
218,177.8664688,28.1095853,1,1,1
219,177.8644761,28.12619371,1,1,1
220,177.8625764,28.14281067,1,1,1
221,177.8607696,28.15943583,1,1,1
222,177.859056,28.17606866,1,1,1
223,177.8574356,28.19270878,1,1,1
224,177.8559085,28.20935585,1,1,1
225,177.8544748,28.22600943,1,1,1
226,177.8531344,28.24266906,1,1,1
227,177.8518876,28.25933432,1,1,1
228,177.8507344,28.27600483,1,1,1
229,177.8496749,28.29268024,1,1,1
230,177.848709,28.30936004,1,1,1
231,177.847837,28.32604385,1,1,1
232,177.8470588,28.34273123,1,1,1
233,177.8463746,28.35942184,1,1,1
234,177.8457844,28.37611523,1,1,1
235,177.8452882,28.39281096,1,1,1
236,177.8448862,28.40950859,1,1,1
237,177.8445783,28.42620776,1,1,1
